 author ;  language; framework ; version ; multi threaded ; comment ; slowest run ; fastest run ;  measurements excl slowest and fastest 
 gsc ;  rust; warp ; v1 ; false ; none ; 0.000363 ; 0.000246 ;  0.000295;0.000298;0.000304;0.000306;0.000308;0.000310;0.000310;0.000314 
 gsc ;  rust; warp ; v1 ; false ; none ; 0.000325 ; 0.000227 ;  0.000232;0.000235;0.000240;0.000241;0.000246;0.000302;0.000311;0.000317 
  ;  ;  ;  ;  ;  ; 0.000091 ; 0.000061 ;  0.000062;0.000062;0.000064;0.000064;0.000065;0.000065;0.000067;0.000069 
  ;  ;  ;  ;  ;  ; 0.000073 ; 0.000064 ;  0.000064;0.000066;0.000066;0.000066;0.000067;0.000067;0.000068;0.000069 
  ;  ;  ;  ;  ;  ; 0.000104 ; 0.000065 ;  0.000065;0.000066;0.000066;0.000067;0.000068;0.000068;0.000068;0.000070 
  ;  ;  ;  ;  ;  ; 0.000217 ; 0.000156 ;  0.000168;0.000184;0.000193;0.000200;0.000202;0.000204;0.000205;0.000206 
 gsc ;  rust; warp ; v1 ; false ; none ; 0.000251 ; 0.000158 ;  0.000171;0.000201;0.000202;0.000210;0.000219;0.000223;0.000225;0.000241 
  ;  ;  ;  ;  ;  ; 0.000071 ; 0.000058 ;  0.000062;0.000064;0.000064;0.000065;0.000065;0.000065;0.000066;0.000067 
  ;  ;  ;  ;  ;  ; 0.000204 ; 0.000159 ;  0.000159;0.000164;0.000169;0.000177;0.000180;0.000183;0.000191;0.000193 
  ;  ;  ;  ;  ;  ; 0.000405 ; 0.000059 ;  0.000060;0.000063;0.000063;0.000064;0.000186;0.000194;0.000199;0.000222 
 gsc ;  rust; warp ; v1 ; false ; none ; 0.000243 ; 0.000205 ;  0.000212;0.000221;0.000226;0.000226;0.000229;0.000231;0.000233;0.000234 
  ;  ;  ;  ;  ;  ; 0.000088 ; 0.000058 ;  0.000058;0.000060;0.000060;0.000060;0.000061;0.000064;0.000068;0.000073 
